Id,Store,DayOfWeek,Date,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
100,132,4,2015-09-17,1.0,1,0,0,d,c,1040.0,7.2247043363994745,2008.6688567674114,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
101,135,4,2015-09-17,1.0,1,0,0,d,a,5190.0,7.2247043363994745,2008.6688567674114,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
102,136,4,2015-09-17,1.0,1,0,0,a,c,2200.0,12.0,2010.0,1,22.0,2012.0,"Feb,May,Aug,Nov"
103,137,4,2015-09-17,1.0,1,0,0,a,a,1730.0,7.0,2015.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
104,139,4,2015-09-17,1.0,1,0,0,a,a,1700.0,1.0,2008.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
105,140,4,2015-09-17,1.0,1,0,0,a,c,1090.0,7.0,2010.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
106,141,4,2015-09-17,1.0,1,0,0,c,c,1540.0,7.2247043363994745,2008.6688567674114,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
107,142,4,2015-09-17,1.0,1,0,0,a,a,1090.0,7.0,2002.0,0,0.0,0.0,0
108,143,4,2015-09-17,1.0,1,0,0,d,a,2930.0,12.0,2002.0,0,0.0,0.0,0
109,144,4,2015-09-17,1.0,1,0,0,a,c,16570.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
110,145,4,2015-09-17,1.0,1,0,0,a,a,280.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
111,146,4,2015-09-17,1.0,1,0,0,d,c,8050.0,10.0,1961.0,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
112,147,4,2015-09-17,1.0,1,0,0,d,c,8540.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
113,149,4,2015-09-17,1.0,1,0,0,d,a,2610.0,7.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
114,150,4,2015-09-17,1.0,1,0,0,c,c,31830.0,3.0,2010.0,0,0.0,0.0,0
115,152,4,2015-09-17,1.0,1,0,0,a,a,1780.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
116,153,4,2015-09-17,1.0,1,0,0,a,a,16240.0,10.0,2000.0,1,18.0,2011.0,"Feb,May,Aug,Nov"
117,154,4,2015-09-17,1.0,1,0,0,d,c,16420.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
118,155,4,2015-09-17,1.0,1,0,0,d,a,3050.0,7.2247043363994745,2008.6688567674114,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
119,157,4,2015-09-17,1.0,1,0,0,a,c,2950.0,10.0,2004.0,0,0.0,0.0,0
120,158,4,2015-09-17,1.0,1,0,0,d,c,11840.0,7.2247043363994745,2008.6688567674114,1,31.0,2009.0,"Feb,May,Aug,Nov"
121,159,4,2015-09-17,1.0,1,0,0,d,a,8530.0,3.0,2013.0,0,0.0,0.0,0
122,160,4,2015-09-17,1.0,1,0,0,d,c,17110.0,11.0,2005.0,0,0.0,0.0,0
123,161,4,2015-09-17,1.0,1,0,0,a,c,2970.0,3.0,2005.0,0,0.0,0.0,0
124,162,4,2015-09-17,1.0,1,0,0,d,c,5340.0,3.0,2012.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
125,164,4,2015-09-17,1.0,1,0,0,a,a,1160.0,9.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
126,165,4,2015-09-17,1.0,1,0,0,a,a,3720.0,4.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
127,166,4,2015-09-17,1.0,1,0,0,a,c,100.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
128,168,4,2015-09-17,1.0,1,0,0,a,a,12540.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
129,169,4,2015-09-17,1.0,1,0,0,d,a,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov"
130,170,4,2015-09-17,1.0,1,0,0,a,a,1070.0,5.0,2015.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
131,171,4,2015-09-17,1.0,1,0,0,a,a,2640.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
132,172,4,2015-09-17,1.0,1,0,0,a,a,110.0,7.2247043363994745,2008.6688567674114,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
133,174,4,2015-09-17,1.0,1,0,0,a,a,13090.0,7.2247043363994745,2008.6688567674114,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
134,175,4,2015-09-17,1.0,1,0,0,c,a,4130.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
135,176,4,2015-09-17,1.0,1,0,0,a,a,3770.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
136,179,4,2015-09-17,1.0,1,0,0,a,c,480.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
137,180,4,2015-09-17,1.0,1,0,0,d,a,5800.0,9.0,2010.0,0,0.0,0.0,0
138,181,4,2015-09-17,1.0,1,0,0,a,a,12610.0,3.0,2013.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
139,182,4,2015-09-17,1.0,1,0,0,d,c,1390.0,7.2247043363994745,2008.6688567674114,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
140,183,4,2015-09-17,1.0,1,0,0,a,a,9670.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
141,184,4,2015-09-17,1.0,1,0,0,d,c,3560.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
142,186,4,2015-09-17,1.0,1,0,0,a,a,290.0,10.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
143,187,4,2015-09-17,1.0,1,0,0,a,c,19360.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
144,188,4,2015-09-17,1.0,1,0,0,d,a,850.0,7.2247043363994745,2008.6688567674114,1,18.0,2011.0,"Feb,May,Aug,Nov"
145,189,4,2015-09-17,1.0,1,0,0,d,a,5760.0,7.0,2014.0,0,0.0,0.0,0
146,190,4,2015-09-17,1.0,1,0,0,a,a,1470.0,12.0,2006.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
147,191,4,2015-09-17,1.0,1,0,0,a,a,1100.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
148,192,4,2015-09-17,1.0,1,0,0,d,c,2770.0,3.0,2008.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
149,193,4,2015-09-17,1.0,1,0,0,a,a,520.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
150,194,4,2015-09-17,1.0,1,0,0,d,c,16970.0,7.2247043363994745,2008.6688567674114,1,5.0,2013.0,"Feb,May,Aug,Nov"
151,195,4,2015-09-17,1.0,1,0,0,a,c,220.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
152,197,4,2015-09-17,1.0,1,0,0,c,a,4210.0,3.0,2015.0,0,0.0,0.0,0
153,199,4,2015-09-17,1.0,1,0,0,d,c,6360.0,12.0,2010.0,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
154,200,4,2015-09-17,1.0,1,0,0,a,a,1650.0,10.0,2000.0,0,0.0,0.0,0
155,201,4,2015-09-17,1.0,1,0,0,d,a,20260.0,7.2247043363994745,2008.6688567674114,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
156,202,4,2015-09-17,1.0,1,0,0,d,c,5140.0,5.0,2010.0,0,0.0,0.0,0
157,204,4,2015-09-17,1.0,1,0,0,a,a,5630.0,12.0,2002.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
158,206,4,2015-09-17,1.0,1,0,0,a,c,380.0,7.2247043363994745,2008.6688567674114,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
159,207,4,2015-09-17,1.0,1,0,0,a,a,6870.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
160,209,4,2015-09-17,1.0,1,0,0,a,c,11680.0,9.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
161,210,4,2015-09-17,1.0,1,0,0,d,a,970.0,11.0,1999.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
162,212,4,2015-09-17,1.0,1,0,0,a,c,15050.0,9.0,2008.0,0,0.0,0.0,0
163,213,4,2015-09-17,1.0,1,0,0,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
164,214,4,2015-09-17,1.0,1,0,0,d,a,8650.0,7.0,2013.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
165,215,4,2015-09-17,1.0,1,0,0,d,a,150.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
166,216,4,2015-09-17,1.0,1,0,0,c,a,190.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
167,217,4,2015-09-17,1.0,1,0,0,c,a,3150.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
168,218,4,2015-09-17,1.0,1,0,0,a,c,640.0,7.2247043363994745,2008.6688567674114,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
169,219,4,2015-09-17,1.0,1,0,0,a,a,1640.0,2.0,2013.0,0,0.0,0.0,0
170,220,4,2015-09-17,1.0,1,0,0,a,a,1000.0,9.0,2008.0,0,0.0,0.0,0
171,221,4,2015-09-17,1.0,1,0,0,d,c,13530.0,9.0,2013.0,0,0.0,0.0,0
172,224,4,2015-09-17,1.0,1,0,0,d,c,7930.0,7.2247043363994745,2008.6688567674114,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
173,226,4,2015-09-17,1.0,1,0,0,a,a,450.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
174,227,4,2015-09-17,1.0,1,0,0,a,a,2370.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
175,228,4,2015-09-17,1.0,1,0,0,d,c,10800.0,7.2247043363994745,2008.6688567674114,1,18.0,2011.0,"Feb,May,Aug,Nov"
176,229,4,2015-09-17,1.0,1,0,0,d,c,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
177,230,4,2015-09-17,1.0,1,0,0,d,c,6680.0,9.0,2013.0,0,0.0,0.0,0
178,231,4,2015-09-17,1.0,1,0,0,d,c,3840.0,10.0,2008.0,1,39.0,2010.0,"Feb,May,Aug,Nov"
179,233,4,2015-09-17,1.0,1,0,0,a,a,1890.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
180,234,4,2015-09-17,1.0,1,0,0,d,a,4370.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
181,235,4,2015-09-17,1.0,1,0,0,a,a,5710.0,3.0,2012.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
182,238,4,2015-09-17,1.0,1,0,0,a,a,320.0,7.2247043363994745,2008.6688567674114,1,45.0,2009.0,"Feb,May,Aug,Nov"
183,239,4,2015-09-17,1.0,1,0,0,d,c,610.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
184,241,4,2015-09-17,1.0,1,0,0,d,c,780.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
185,242,4,2015-09-17,1.0,1,0,0,d,a,6880.0,9.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
186,243,4,2015-09-17,1.0,1,0,0,a,a,310.0,7.2247043363994745,2008.6688567674114,1,5.0,2013.0,"Feb,May,Aug,Nov"
187,244,4,2015-09-17,1.0,1,0,0,d,a,710.0,3.0,2012.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
188,245,4,2015-09-17,1.0,1,0,0,a,c,1310.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
189,246,4,2015-09-17,1.0,1,0,0,c,a,4660.0,4.0,2013.0,0,0.0,0.0,0
190,247,4,2015-09-17,1.0,1,0,0,d,c,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
191,248,4,2015-09-17,1.0,1,0,0,a,c,340.0,9.0,2012.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
192,249,4,2015-09-17,1.0,1,0,0,d,c,18010.0,9.0,2014.0,0,0.0,0.0,0
193,250,4,2015-09-17,1.0,1,0,0,d,a,3520.0,7.2247043363994745,2008.6688567674114,1,18.0,2012.0,"Feb,May,Aug,Nov"
194,251,4,2015-09-17,1.0,1,0,0,a,c,340.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
195,252,4,2015-09-17,1.0,1,0,0,d,c,22330.0,7.2247043363994745,2008.6688567674114,1,5.0,2010.0,"Feb,May,Aug,Nov"
196,253,4,2015-09-17,1.0,1,0,0,a,c,250.0,7.2247043363994745,2008.6688567674114,1,5.0,2013.0,"Feb,May,Aug,Nov"
197,254,4,2015-09-17,1.0,1,0,0,d,a,330.0,3.0,2008.0,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
198,255,4,2015-09-17,1.0,1,0,0,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,"Feb,May,Aug,Nov"
199,256,4,2015-09-17,1.0,1,0,0,a,c,80.0,9.0,2005.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
200,258,4,2015-09-17,1.0,1,0,0,a,a,27190.0,7.0,2010.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
201,259,4,2015-09-17,1.0,1,0,0,b,b,210.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
202,262,4,2015-09-17,1.0,1,0,0,b,a,1180.0,5.0,2013.0,0,0.0,0.0,0
203,263,4,2015-09-17,1.0,1,0,0,a,c,1140.0,5.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
204,265,4,2015-09-17,1.0,1,0,0,a,a,4580.0,7.2247043363994745,2008.6688567674114,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
205,267,4,2015-09-17,1.0,1,0,0,c,a,2460.0,1.0,2012.0,0,0.0,0.0,0
206,268,4,2015-09-17,1.0,1,0,0,a,a,4520.0,2.0,2014.0,0,0.0,0.0,0
207,269,4,2015-09-17,1.0,1,0,0,a,c,60.0,6.0,2015.0,0,0.0,0.0,0
208,272,4,2015-09-17,1.0,1,0,0,a,a,16180.0,7.0,2003.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
209,273,4,2015-09-17,1.0,1,0,0,a,c,8480.0,7.2247043363994745,2008.6688567674114,0,0.0,0.0,0
